SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,SamplesCount
0.0,0.0,25.9937,0.0014999999999999998,0.0983875,1522.4141,20.12,8
1.0,1.0,25.9906,0.0216,0.5762714285714285,1525.033,20.12,7
2.0,2.0,25.9875,0.0381,0.9894625,1529.8406,20.12,8
3.0,3.0,25.985175,0.0555,1.4458875,1536.8602,20.12,8
4.0,4.0,25.980900000000002,0.07529999999999999,1.9358875,1546.8058,20.12,8
5.0,5.0,25.9753875,0.1011,2.6296125,1559.3011,20.25,8
6.0,6.0,25.9699625,0.1269,3.2882375,1575.7901,20.25,8
7.0,7.0,25.9652125,0.1563,4.0613875,1596.073,20.25,8
8.0,8.0,25.959,0.1872,4.8522,1620.4877,20.25,8
9.0,9.0,25.9527125,0.2175,5.6407875,1647.5597,20.265,8
10.0,10.0,25.9457375,0.2502,6.487375,1680.169,20.37,8
11.0,11.0,25.9402125,0.2832,7.339675,1717.1866,20.37,8
12.0,12.0,25.9344,0.3168,8.207728571428571,1756.5542,20.37,7
13.0,13.0,25.9261625,0.3507,9.0877125,1802.3654,20.37,8
14.0,14.0,25.9188,0.3861,10.0071,1852.8154,20.37,8
15.0,15.0,25.9136625,0.4158,10.7737375,1907.6045,20.5,8
20.0,20.0,25.8789,0.5943,15.3768,1981.3632,20.5,8
25.0,25.0,25.846125,0.7623,19.7050125,2080.297,20.5,8
30.0,30.0,25.814825,0.9204,23.7627,2200.0666,20.5,8
35.0,35.0,25.786725,1.0662,27.5009375,2339.1667,20.5,8
40.0,40.0,25.7621125,1.1916,30.7033875,2487.0374,20.5,8
45.0,45.0,25.7425375,1.2879,33.15665,2655.4368,20.605,8
50.0,50.0,25.7253875,1.3721999999999999,35.2909,2834.3117,20.62,8
55.0,55.0,25.7156,1.4229,36.5877625,3010.8518,20.62,8
60.0,60.0,25.7089875,1.4538,37.3730875,3200.7552,20.62,8
65.0,65.0,25.708199999999998,1.4589,37.5067125,3391.7107,20.62,8
70.0,70.0,25.710949999999997,1.4436,37.121575,3580.9382,20.62,8
75.0,75.0,25.7168,1.4187,36.480775,3757.801,20.62,8
80.0,80.0,25.725012500000002,1.3716,35.280175,3937.8509,20.62,8
85.0,85.0,25.7347875,1.3176,33.905812499999996,4111.3344,20.66875,8
86.0,86.0,25.738828571428574,1.3014857142857144,33.506,4273.0598,20.75,7
87.0,87.0,25.742925,1.2804,32.9688625,4440.407,20.75,8
88.0,88.0,25.7476625,1.2651,32.5703625,4605.4656,20.75,8
89.0,89.0,25.7511625,1.2435,32.017562500000004,4768.5043,20.75,8
90.0,90.0,25.752325,1.2366,31.83905,4921.344,20.75,8
91.0,91.0,25.7539,1.2248999999999999,31.5514,5081.664,20.75,8
92.0,92.0,25.7594,1.2042000000000002,31.0088375,5239.0426,20.75,8
93.0,93.0,25.760285714285715,1.1910857142857143,30.684142857142856,5387.3434,20.75,7
94.0,94.0,25.765225,1.173,30.231175,5541.2736,20.75,8
95.0,95.0,25.7699125,1.1487,29.6088125,5691.7786,20.75,8
96.0,96.0,25.7726625,1.1337,29.210275,5840.2176,20.75,8
97.0,97.0,25.775775,1.1261999999999999,29.024475,5980.0704,20.84,8
98.0,98.0,25.7753875,1.1208,28.8868125,6126.912,20.825,8
99.0,99.0,25.77775,1.1178000000000001,28.8196625,6272.9626,20.87,8
99.8,99.8,25.779028571428572,1.104342857142857,28.452814285714286,6410.6342,20.767142857142858,7
