Run,Throttle %,Current [A],Tacho speed,Torque [Nm],Line start accel,Line Finish accel,Line start ss,Line Finish ss,File
1,20,0.85,59,0.56,4690,4704,4705,4946,ILTESTr016.txt
2,20,0.9,59,0.66,388,401,402,547,ILTESTr017.txt
3,20,1,57.5,1.12,771,784,785,1004,ILTESTr017.txt
4,20,1.05,56.7,1.41,1232,1245,1246,1401,ILTESTr017.txt
5,20,1.2,55.4,1.84,2009,2023,2024,2174,ILTESTr017.txt
6,20,1.3,54.5,2.24,2268,2283,2284,2402,ILTESTr017.txt
7,20,1.35,53.7,2.53,2517,2531,2532,2663,ILTESTr017.txt
8,20,1.4,53,2.77,176,194,195,287,ILTESTr018.txt
9,20,1.4,52.4,2.99,578,594,595,676,ILTESTr018.txt
10,20,1.6,51.4,3.38,1214,1228,1229,1308,ILTESTr018.txt
11,20,1.7,50,3.99,137,150,151,228,ILTESTr019.txt
12,20,2,47,5.2,32,45,46,99,ILTESTr020.txt
13,20,2.2,43.7,6.4,57,71,72,181,ILTESTr021.txt
14,20,2.6,37.2,9,114,126,127,178,ILTESTr022.txt
15,41,1.65,126.1,0.49,1605,1633,1634,1678,ILTESTr022.txt
16,41,1.7,126.1,0.49,2053,2079,2080,2131,ILTESTr022.txt
17,41,2.2,122.4,1.49,2428,2455,2456,2506,ILTESTr022.txt
18,41,2.4,121,1.91,2613,2644,2645,2685,ILTESTr022.txt
19,41,2.5,119.8,2.3,2797,2823,2824,2873,ILTESTr022.txt
20,41,2.8,118.2,2.8,3004,3030,3031,3081,ILTESTr022.txt
21,41,2.9,117.3,3.14,3194,3221,3222,3274,ILTESTr022.txt
22,41,3,115.4,3.74,3399,3426,3427,3467,ILTESTr022.txt
23,41,3,115.4,3.73,51,79,80,127,ILTESTr023.txt
24,41,3.5,113.5,4.43,187,207,208,265,ILTESTr024.txt
25,41,4.3,109,6.03,17,44,45,97,ILTESTr025.txt
26,41,5.5,101.5,8.889,512,539,540,595,ILTESTr025.txt
27,41,6.4,98,10.22,434,459,460,510,ILTESTr026.txt
28,56,2.1,170.5,0.6,578,615,616,673,ILTESTr027.txt
29,56,2.6,167.9,1.28,1153,1189,1190,1244,ILTESTr027.txt
30,56,2.8,166.3,1.7,174,211,212,266,ILTESTr028.txt
31,56,4.5,163.1,2.61,398,432,433,490,ILTESTr028.txt
32,56,3.8,161.4,3.2,79,114,115,156,ILTESTr029.txt
33,56,4,160.5,3.45,369,406,407,442,ILTESTr029.txt
34,56,6.7,157.7,4.69,14,50,51,96,ILTESTr031.txt
35,56,5.7,153.9,5.85,6,42,43,70,ILTESTr033.txt
36,56,6.2,151.1,6.45,449,485,486,515,ILTESTr033.txt
37,56,7.6,147.5,8.48,299,335,336,375,ILTESTr034.txt
38,56,8,142.4,9.73,918,953,954,1001,ILTESTr034.txt
39,56,8.6,140.2,10.65,1221,1256,1257,1296,ILTESTr034.txt
40,56,9.5,135.7,12.08,48,84,85,128,ILTESTr036.txt
41,56,10.9,132.2,14.15,177,212,213,249,ILTESTr037.txt
42,56,12,126.1,15.95,603,638,639,698,ILTESTr037.txt
43,71,2.4,216.8,0.56,4294,4337,4338,4377,ILTESTr037.txt
44,71,3.2,210.9,1.74,4557,4602,4603,4633,ILTESTr037.txt
45,71,4.3,206.7,2.89,4814,4858,4859,4887,ILTESTr037.txt
46,71,5,204.3,3.57,5031,5076,5077,5133,ILTESTr037.txt
47,71,7.8,192.9,7.2,5470,5511,5512,5557,ILTESTr037.txt
48,71,6.5,198.6,5.54,5682,5726,5727,5753,ILTESTr037.txt
49,71,12.6,175.6,13.01,36,78,79,107,ILTESTr038.txt
50,71,16,163.9,17.64,858,903,904,940,ILTESTr039.txt
51,89,2.6,265,0.5,4560,4615,4616,4681,ILTESTr039.txt
52,89,2.4,264.2,0.5,8731,8781,8782,8850,ILTESTr039.txt
53,89,3.2,260.9,1.28,9126,9183,9184,9209,ILTESTr039.txt
54,89,4.1,258,1.94,9344,9399,9400,9429,ILTESTr039.txt
55,89,4.7,255.2,2.6,9617,9668,9669,9701,ILTESTr039.txt
56,89,5.7,252.2,3.5,99,155,156,178,ILTESTr040.txt
57,89,7.4,250,4.86,298,351,352,404,ILTESTr040.txt
58,89,9.2,241.8,7.02,558,609,610,648,ILTESTr040.txt
59,89,11.4,232.6,9.3,1085,1137,1138,1190,ILTESTr040.txt
60,89,13.2,226.8,11.15,132,188,189,242,ILTESTr041.txt
61,89,16.5,215.1,14.16,758,809,810,839,ILTESTr041.txt
62,99,2.5,296.6,0.48,909,968,969,1023,ILTESTr042.txt
63,99,3.8,290,1.67,1383,1439,1440,1468,ILTESTr042.txt
64,99,4.5,287.6,2.32,1656,1712,1713,1755,ILTESTr042.txt
65,99,5.2,286.2,2.7,1894,1949,1950,2009,ILTESTr042.txt
66,99,6.7,280.4,4.15,2118,2174,2175,2219,ILTESTr042.txt
67,99,9.5,270.7,6.72,2431,2489,2490,2543,ILTESTr042.txt
68,99,12,261.1,9,3616,3671,3672,3719,ILTESTr042.txt
69,99,15.6,250.8,11.12,242,305,306,341,ILTESTr043.txt
70,99,19.4,236.6,15.24,267,329,330,362,ILTESTr044.txt
